# Geometria del corredor Tijuana-Tecate, para JTT-1395.
# Origen: 200217-IT-B Larguillo ITS Tijuana - Tecate.kmz, entregado por el lider el 20-ago-2026.
# Traza de 724 vertices, anclada a las 29 paletas de kilometraje PK 120..148 del mismo archivo.
# Cubre del PK 120.764 al PK 147.716. Fuera de ese tramo no hay geometria.
# Formato: longitud;latitud;metros   (metros = punto kilometrico normalizado, CA 8)
-116.7370500;32.5280000;134913
-116.7371000;32.5280500;134920
-116.7374700;32.5283800;134972
-116.7378600;32.5288300;135034
-116.7379800;32.5289900;135055
-116.7380900;32.5291400;135075
-116.7382800;32.5294400;135112
-116.7384500;32.5297900;135154
-116.7384800;32.5298500;135162
-116.7385300;32.5299600;135175
-116.7386100;32.5301200;135194
-116.7386400;32.5301900;135202
-116.7389100;32.5307900;135274
-116.7394800;32.5320600;135425
-116.7396500;32.5324800;135474
-116.7396800;32.5325500;135482
-116.7397100;32.5326000;135489
-116.7397100;32.5326100;135490
-116.7397400;32.5326800;135498
-116.7399900;32.5332600;135567
-116.7403100;32.5339900;135653
-116.7406900;32.5348600;135756
-116.7410000;32.5355700;135840
-116.7411500;32.5359100;135881
-116.7412600;32.5361700;135911
-116.7414400;32.5365900;135961
-116.7417200;32.5372300;136037
-116.7417300;32.5372600;136040
-116.7419900;32.5377900;136103
-116.7422000;32.5381600;136149
-116.7423700;32.5384000;136180
-116.7424200;32.5384700;136189
-116.7424300;32.5384900;136191
-116.7424900;32.5385900;136203
-116.7425200;32.5386200;136208
-116.7428700;32.5390200;136263
-116.7429400;32.5390900;136273
-116.7430200;32.5391800;136285
-116.7430300;32.5391900;136286
-116.7431900;32.5393200;136307
-116.7433500;32.5394700;136329
-116.7437200;32.5397400;136375
-116.7438100;32.5398000;136386
-116.7439900;32.5399200;136407
-116.7441800;32.5400400;136429
-116.7445600;32.5402400;136471
-116.7449900;32.5404300;136516
-116.7454500;32.5406000;136563
-116.7456700;32.5406600;136584
-116.7458800;32.5407200;136605
-116.7460900;32.5407800;136625
-116.7463100;32.5408200;136646
-116.7463600;32.5408300;136651
-116.7465900;32.5408700;136673
-116.7467100;32.5408900;136684
-116.7469100;32.5409200;136703
-116.7469300;32.5409200;136705
-116.7479200;32.5410400;136798
-116.7479700;32.5410500;136803
-116.7479800;32.5410500;136804
-116.7481800;32.5410800;136823
-116.7492300;32.5412300;136922
-116.7492400;32.5412300;136923
-116.7494400;32.5412600;136942
-116.7495100;32.5412700;136948
-116.7507100;32.5414400;137062
-116.7512300;32.5415000;137112
-116.7518000;32.5415800;137166
-116.7519300;32.5416000;137178
-116.7519800;32.5416100;137183
-116.7520200;32.5416200;137187
-116.7522700;32.5416600;137211
-116.7532400;32.5417800;137303
-116.7534000;32.5418000;137318
-116.7537500;32.5418500;137352
-116.7560600;32.5421900;137572
-116.7563000;32.5422200;137595
-116.7565600;32.5422700;137620
-116.7573700;32.5423900;137697
-116.7579800;32.5424900;137756
-116.7580600;32.5425000;137763
-116.7593500;32.5427300;137887
-116.7596500;32.5427900;137916
-116.7597300;32.5428000;137924
-116.7599300;32.5428400;137943
-116.7613700;32.5431000;138082
-116.7618900;32.5431900;138132
-116.7620600;32.5432200;138148
-116.7624700;32.5433000;138187
-116.7625100;32.5433000;138191
-116.7625400;32.5433100;138194
-116.7633500;32.5434600;138272
-116.7635600;32.5434900;138292
-116.7646500;32.5436900;138397
-116.7671000;32.5441300;138632
-116.7673100;32.5441700;138652
-116.7689000;32.5444500;138805
-116.7692100;32.5445100;138835
-116.7692900;32.5445200;138843
-116.7693600;32.5445400;138849
-116.7694700;32.5445500;138860
-116.7699400;32.5446400;138905
-116.7703600;32.5447200;138946
-116.7705700;32.5447600;138966
-116.7710300;32.5448400;139010
-116.7711900;32.5448700;139025
-116.7714000;32.5449100;139046
-116.7714300;32.5449100;139048
-116.7716100;32.5449400;139066
-116.7718200;32.5449800;139086
-116.7720300;32.5450200;139106
-116.7721100;32.5450300;139114
-116.7726500;32.5451400;139166
-116.7731500;32.5452200;139213
-116.7737500;32.5452900;139270
-116.7743400;32.5453600;139326
-116.7746500;32.5454000;139356
-116.7751800;32.5454500;139406
-116.7751900;32.5454500;139407
-116.7758200;32.5454900;139466
-116.7765700;32.5455400;139536
